song_x,year_x,artist_x,genre_x,video_length,scene_count,frame_count,mot_int_mean,mot_int_std,lighting_met,light_mean,sat_met,sat_mean,col_en,colness,most_predominant_topic
bang-my-head,2015,david-guetta,Electronic,213,69,5338,0.100496326,0.051414257,-283458.8636,49.31254449,-875381.1285,214.7977397,224.0859839,35.21020766,topic_23
ready-for-the-weekend,2009,calvin-harris,Electronic,224,10,5607,0.116906389,0.082327118,469792.0237,137.418363,1126875.463,141.6064268,362.4345691,95.52228024,topic_0
come-to-daddy,1997,aphex-twin,Electronic,365,335,9129,0.205546343,0.130490284,84868.64837,63.01637936,-372704.0209,130.9997145,267.0488703,27.08524532,topic_0
just-girly-things,2015,dawin,Electronic,275,211,6611,0.161353897,0.077190074,-176224.8946,98.44166105,-360222.1305,172.5615449,517.8096839,48.52516628,topic_8
please-tell-rosie,2016,alle-farben,Electronic,205,11,5140,0.087715271,0.054928279,117757.8323,46.55433876,-1735007.558,105.3004251,159.4310093,13.37725412,topic_12
love-on-me,2016,galantis,Electronic,212,129,5103,0.141927069,0.070679546,717210.5013,100.661827,-270502.3065,151.4575307,354.2089242,66.82095405,topic_12
hazey,2014,glass-animals,Electronic,242,16,6065,0.080613801,0.050719956,-483944.8533,48.98386857,-1428209.28,115.6592084,175.1151734,16.59406482,topic_4
all-i-see,2014,bondax,Electronic,199,57,4996,0.122803874,0.073630116,329179.6273,63.6208416,-1355517.467,110.954956,279.7799798,30.72848547,topic_23
going-out-of-my-head,2006,fatboy-slim,Electronic,198,133,4963,0.233385452,0.126515474,54562.17973,103.2257652,-14760.10195,180.5487611,3922.594719,39.42164544,topic_23
gettin-over-you,2009,david-guetta,Electronic,187,170,4677,0.2148609,0.070816708,-80683.51101,80.9113673,-761536.5076,180.933676,334.6901301,22.78056719,topic_8
foreign-language,2011,flight-facilities,Electronic,268,96,6710,0.13184963,0.096265152,665722.3371,76.14433839,-1703729.711,165.5719592,667.3773423,19.64760635,topic_29
the-good-life,2014,elizabeth-rose,Electronic,222,62,5559,0.081161466,0.071893679,-547621.6077,61.12319478,-1714344.418,130.0431284,211.2760467,12.47954752,topic_6
i-surrender,2014,cazzette,Electronic,307,86,7374,0.104495203,0.08285717,-805474.2775,46.80875737,-1437824.734,124.5659128,129.0911293,20.35431358,topic_17
playground-love,2000,air,Electronic,210,22,5252,0.075849225,0.068452334,-98546.08854,121.4668074,466982.5242,182.8747711,3618.175636,51.16267704,topic_12
night-by-night,2010,chromeo,Electronic,230,55,5526,0.075893779,0.055949616,-446991.1223,29.22112803,-1552266.189,88.16351579,97.54031425,11.05344358,topic_12
keep-the-streets-empty-for-me,2009,fever-ray,Electronic,336,1,8413,0.027432137,0.042280748,227499,28.56283617,0,204.0096591,303.501692,0,topic_23
feel-so-close,2012,calvin-harris,Electronic,245,78,5904,0.128580494,0.056495256,-224628.5576,48.76972346,-1756837.24,127.1074725,180.5951079,14.37034695,topic_25
people-in-the-city,2001,air,Electronic,298,81,7161,0.08395968,0.067734417,-751873.0081,70.0133767,-1380160.686,169.7099509,370.6013803,21.02867702,topic_24
come-take-my-hand,1996,2-brothers-on-the-4th-floor,Electronic,263,8,6579,0.120321207,0.084639266,754896.3116,74.27987363,-1332543.406,181.5828211,565.5727318,2.359424607,topic_23
praise-you,2006,fatboy-slim,Electronic,226,17,5651,0.135158097,0.055323981,-305010.6293,73.00834844,-1362899.334,176.0151992,666.061794,12.91433588,topic_17
cool,2015,alesso,Electronic,236,58,5683,0.114825155,0.073815835,-641422.332,58.03717034,-1394942.935,109.6123374,195.9708484,26.14284913,topic_11
tears,2016,clean-bandit,Electronic,237,120,5934,0.15131494,0.119055743,-546160.7792,69.68764157,-1129494.615,174.0141027,,25.22604479,topic_18
take-over-control,2011,afrojack,Electronic,184,126,4601,0.175434191,0.08260623,541259.6872,74.08629051,-1252650.526,114.459159,261.1928342,30.10852653,topic_23
when-i-grow-up,2009,fever-ray,Electronic,234,72,5875,0.112215692,0.105040942,-585530.5425,63.96287203,-1517472.721,169.6955124,429.7483371,14.58714675,topic_5
at-home,2010,crystal-fighters,Electronic,239,56,5991,0.128091763,0.083657259,-1051126.944,76.96330808,-1403849.144,183.6743762,708.4850704,8.822742827,topic_7
thea,2014,goldfrapp,Electronic,287,1,8640,0.002466898,0.000188941,120484,126.3528183,561718,152.2651157,589.2108099,81.96952073,topic_28
hot-right-now,2010,dj-fresh,Electronic,185,149,4636,0.160737285,0.079777918,368368.0203,73.2483058,-1350906.407,126.3173614,268.5470602,28.35261856,topic_20
native-new-yorker,1996,black-box,Electronic,235,119,7051,0.198299659,0.097592516,491120.4645,91.17462576,-1245126.242,111.5484787,316.565909,27.37971263,topic_23
giving-it-all,2013,bondax,Electronic,215,84,5397,0.120671833,0.085029225,88603.8942,77.09666504,-1018532.857,163.6778887,735.1097848,20.84632731,topic_18
fly-me-away,2005,goldfrapp,Electronic,325,90,9780,0.109533602,0.09274035,73064.61595,103.6610881,73332.05337,164.0788188,319.8081026,63.03067623,topic_5
on-my-way,2017,axwell-ingrosso,Electronic,411,297,10291,0.178161228,0.077005569,178290.0422,73.83699542,-1018739.076,135.5432112,275.2445511,27.80198404,topic_15
cinema,2011,benny-benassi,Electronic,215,133,5377,0.189832127,0.094487847,741859.0675,76.39549004,-676124.1045,137.4283984,522.7353515,55.26694048,topic_0
hear-my-name,2005,armand-van-helden,Electronic,211,125,5288,0.159055994,0.07443335,157407.0482,65.16135944,-978434.5533,120.7091663,204.3246599,22.41902313,topic_7
going-nowhere,2004,cut-copy,Electronic,206,3,5153,0.156615633,0.119449003,2048733.296,116.5394766,-1815088.774,191.4432843,1249.604508,7.364734715,topic_12
mfn,2014,cibo-matto,Electronic,207,224,4979,0.285020011,0.166974757,1008834.759,121.6168506,716171.5959,190.692988,1331.716531,92.18145401,topic_23
never-alone,1994,2-brothers-on-the-4th-floor,Electronic,251,142,6299,0.296380947,0.113499516,1058952.403,105.6766034,-725713.3437,236.2051871,769.0597955,2.930010656,topic_9
the-sound-of-violence,2002,cassius,Electronic,213,41,5338,0.100007121,0.083246067,436664.1939,73.18108363,-598238.8192,140.1615209,279.8838864,46.13754361,topic_5
these-early-days,1988,everything-but-the-girl,Electronic,219,1,5497,0.063462452,0.048832271,-862465,21.14898438,-1826085,155.2120052,76.9052169,1.837523682,topic_17
lone-digger,2015,caravan-palace,Electronic,169,84,4245,0.105725627,0.060154915,-1435105.65,110.6938387,901795.8252,193.5082134,748.4389312,51.90439399,topic_11
black-mambo,2014,glass-animals,Electronic,197,46,4933,0.048767054,0.043205252,-2101019.715,47.52456167,-1527443.845,147.4071493,153.2871577,18.57017089,topic_17
memories,2009,david-guetta,Electronic,208,144,5213,0.241195605,0.101534784,790912.248,99.50201186,-861828.3524,176.3198588,616.8970202,40.11389629,topic_12
you-used-to-hold-me,2009,calvin-harris,Electronic,215,182,5400,0.237786504,0.12276051,29161.12574,101.1950032,-44275.64907,136.6032457,442.0886003,47.39555285,topic_23
once-upon-a-time,2007,air,Electronic,232,52,5815,0.078189712,0.053962252,-80767.57386,117.6127606,662119.104,233.4557825,1076.323269,16.44784933,topic_15
home,2013,austra,Electronic,255,4,6129,0.023929548,0.031202122,-437548.9824,90.91624419,77870.16577,195.4136156,633.9339975,19.75610403,topic_7
void,2015,fritz-kalkbrenner,Electronic,219,46,5483,0.132494342,0.123898343,902367.5927,90.11369843,-1083156.641,199.1765107,973.7398024,17.68357484,topic_13
all-i-ever-wanted,2008,basshunter,Electronic,191,84,5750,0.168281196,0.082690278,-117661.6946,119.6349145,911884.5896,176.7266982,3638.74069,56.09325792,topic_7
surfing-on-a-rocket,2004,air,Electronic,225,1,6761,0.006864515,2.63E-05,619755,87.97741319,-635994,134.0968287,302.9854716,27.90883445,topic_24
rain-down-love,2007,freemasons,Electronic,196,122,4919,0.153999912,0.064000035,-294536.6845,120.0937233,1109374.772,182.2176438,,71.44656967,topic_16
smile,2014,galantis,Electronic,243,102,5850,0.114909584,0.072918041,60151.18769,81.11645018,-449265.8297,95.22677171,172.091764,50.60103081,topic_6
take-me,1990,everything-but-the-girl,Electronic,245,24,7370,0.151326918,0.105342843,592823.1102,76.83676518,-629163.5761,233.9189562,inf,5.022233888,topic_19
subways,2016,the-avalanches,Electronic,230,58,5759,0.101590134,0.090390676,1144577.173,81.47804728,-610289.1077,135.9731689,413.0028936,45.76939049,topic_29
setting-sun,2014,dirty-vegas,Electronic,207,20,5185,0.073576407,0.074584897,1087173.54,85.34373694,-1487787.447,95.42694864,245.9695173,35.65792975,topic_7
teach-me,2015,bakermat,Electronic,188,62,4714,0.136794424,0.066820467,538460.1981,58.17974867,-1695525.942,140.2415475,,16.19929136,topic_6
how-deep-is-your-love,2015,calvin-harris,Electronic,260,128,6246,0.15421591,0.112705095,60093.73631,64.28355096,-539522.7989,122.6028663,321.469826,43.05449778,topic_27
pork-soda,2016,glass-animals,Electronic,254,94,6363,0.108227013,0.089029629,-170732.5172,54.78314893,-1655235.096,118.5462855,182.2880323,20.99487586,topic_19
lassitude,2010,dj-fresh,Electronic,196,82,4906,0.112017371,0.071160252,-86336.10355,62.93381031,-1126071.876,135.5973887,inf,20.86049178,topic_6
champion,1995,buju-banton,Electronic,242,56,5811,0.187446697,0.079859735,-58918.16916,80.60248427,-610870.8482,120.5002449,215.7215593,44.27014364,topic_0
gold,2013,adventure-club,Electronic,257,81,7732,0.119580912,0.092694333,187493.6218,53.32275618,-1770006.269,140.928542,202.0635826,15.51361785,topic_27
crackdown,2014,cabaret-voltaire,Electronic,509,181,12730,0.112809968,0.07789402,-70398.23244,81.84606853,-50799.9187,212.3257922,306.0650376,13.18877143,topic_19
lose-yourself-to-dance,2013,daft-punk,Electronic,249,44,5995,0.104882975,0.062826645,-218424.8068,95.49992953,564559.4132,151.2979508,311.5955633,53.09365534,topic_28
alcohol,2006,css,Electronic,175,32,5275,0.107562423,0.088925377,-89679.2455,84.80539013,-1232413.49,173.9152197,580.760056,16.74281849,topic_16
paradise,2016,benny-benassi,Electronic,261,103,6269,0.147975412,0.063027206,606284.9119,75.79413257,-1163277.245,108.5404163,228.018743,37.1854595,topic_3
recognise,2014,fred-v-grafix,Electronic,210,54,5272,0.13526027,0.132408706,-43872.59939,88.16174036,-404433.4475,165.5120158,inf,13.99886164,topic_15
